Province;Commune;Population_2019
Balé;Bagassi;42424
Balé;Bana;19787
Balé;Boromo;40229
Balé;Fara;61001
Balé;Oury;35964
Balé;Pâ;27011
Balé;Pompoï;14067
Balé;Poura;19056
Balé;Siby;18559
Balé;Yaho;19370
Bam;Bourzanga;103266
Bam;Guibaré;37431
Bam;Kongoussi;121595
Bam;Nasséré;13154
Bam;Rollo;42191
Bam;Rouko;21025
Bam;Sabcé;35742
Bam;Tikaré;52263
Bam;Zimtenga;49387
Banwa;Balavé;24103
Banwa;Kouka;73747
Banwa;Sami;13596
Banwa;Sanaba;38037
Banwa;Solenzo;158763
Banwa;Tansila;38743
Bazèga;Doulougou;30155
Bazèga;Gaongo;35765
Bazèga;Ipelcé;13857
Bazèga;Kayao;40691
Bazèga;Kombissiri;77756
Bazèga;Saponé;44140
Bazèga;Toécé;38506
Bougouriba;Bondigui;29523
Bougouriba;Diébougou;63304
Bougouriba;Dolo;10794
Bougouriba;Iolonioro;35351
Bougouriba;Tiankoura;14681
Boulgou;Bagré;37855
Boulgou;Bané;34507
Boulgou;Béguédo;28094
Boulgou;Bissiga;26183
Boulgou;Bittou;102394
Boulgou;Boussouma;35892
Boulgou;Garango;91188
Boulgou;Komtoèga;27144
Boulgou;Niaogho;25547
Boulgou;Tenkodogo;159105
Boulgou;Zabré;119374
Boulgou;Zoaga;13233
Boulgou;Zonsé;37327
Boulkiemdé;Bingo;17154
Boulkiemdé;Imasgo;27762
Boulkiemdé;Kindi;41881
Boulkiemdé;Kokologo;51670
Boulkiemdé;Koudougou;216830
Boulkiemdé;Nandiala;31314
Boulkiemdé;Nanoro;47914
Boulkiemdé;Pella;24606
Boulkiemdé;Poa;32097
Boulkiemdé;Ramongo;29524
Boulkiemdé;Sabou;61836
Boulkiemdé;Siglé;35287
Boulkiemdé;Soaw;22039
Boulkiemdé;Sourgou;17532
Boulkiemdé;Thyou;32263
Comoé;Banfora;160302
Comoé;Bérégadougou;15164
Comoé;Mangodara;67598
Comoé;Moussodougou;17288
Comoé;Niangoloko;76855
Comoé;Ouo;45170
Comoé;Sidéradougou;137743
Comoé;Soubakaniédougou;37500
Comoé;Tiéfora;75423
Ganzourgou;Boudry;123131
Ganzourgou;Kogho;23435
Ganzourgou;Méguet;50258
Ganzourgou;Mogtédo;73244
Ganzourgou;Salogo;30692
Ganzourgou;Zam;62525
Ganzourgou;Zorgho;76431
Ganzourgou;Zoungou;43047
Gnagna;Bilanga;139905
Gnagna;Bogandé;128943
Gnagna;Coalla;86921
Gnagna;Liptougou;75570
Gnagna;Manni;124433
Gnagna;Piéla;79488
Gnagna;Thion;41216
Gourma;Diabo;57463
Gourma;Diapangou;34087
Gourma;Fada N'Gourma;187692
Gourma;Matiacoali;74662
Gourma;Tibga;45463
Gourma;Yamba;37943
Houet;Bama;85834
Houet;Bobo-Dioulasso;984603
Houet;Dandé;22054
Houet;Faramana;17997
Houet;Fô;22471
Houet;Karangasso-Sambla;29898
Houet;Karangasso-Vigué;118402
Houet;Koundougou;21226
Houet;Léna;25393
Houet;Padéma;61859
Houet;Péni;51212
Houet;Satiri;48111
Houet;Toussiana;21578
Ioba;Dano;64237
Ioba;Dissin;45578
Ioba;Guéguéré;46988
Ioba;Koper;28651
Ioba;Niego;12344
Ioba;Oronkua;30692
Ioba;Ouessa;17233
Ioba;Zambo;20233
Kadiogo;Komki-Ipala;22553
Kadiogo;Komsilga;137278
Kadiogo;Koubri;60817
Kadiogo;Ouagadougou;2415266
Kadiogo;Pabré;40387
Kadiogo;Saaba;285235
Kadiogo;Tanghin-Dassouri;68848
Kénédougou;Banzon;20054
Kénédougou;Djigouéra;22766
Kénédougou;Kangala;33064
Kénédougou;Kayan;29425
Kénédougou;Koloko;28626
Kénédougou;Kourinion;17885
Kénédougou;Kourouma;51244
Kénédougou;Morolaba;30051
Kénédougou;N'dorola;40134
Kénédougou;Orodara;44679
Kénédougou;Samoghohiri;10189
Kénédougou;Samorogouan;45428
Kénédougou;Sindo;26404
Komondjari;Bartiébougou;16934
Komondjari;Foutouri;12452
Komondjari;Gayéri;76218
Kompienga;Kompienga;45986
Kompienga;Madjoari;9974
Kompienga;Pama;61722
Kossi;Barani;54748
Kossi;Bomborokuy;19904
Kossi;Bourasso;20115
Kossi;Djibasso;63283
Kossi;Dokuy;40588
Kossi;Doumbala;33326
Kossi;Kombori;15118
Kossi;Madouba;10150
Kossi;Nouna;89742
Kossi;Sono;10115
Koulpélogo;Comin-Yanga;48260
