NAME_1,NAME_2,NAME_3,nouvelle_province,nouvelle_region,remarque
Boucle du Mouhoun,Balé,Bagassi,Balé,Bankui,NA
Boucle du Mouhoun,Balé,Bana,Balé,Bankui,NA
Boucle du Mouhoun,Balé,Boromo,Balé,Bankui,NA
Boucle du Mouhoun,Balé,Fara,Balé,Bankui,NA
Boucle du Mouhoun,Balé,Oury,Balé,Bankui,NA
Boucle du Mouhoun,Balé,Pa,Balé,Bankui,NA
Boucle du Mouhoun,Balé,Pompoï,Balé,Bankui,NA
Boucle du Mouhoun,Balé,Poura,Balé,Bankui,NA
Boucle du Mouhoun,Balé,Siby,Balé,Bankui,NA
Boucle du Mouhoun,Balé,Yaho,Balé,Bankui,NA
Boucle du Mouhoun,Banwa,Balavé,Banwa,Bankui,NA
Boucle du Mouhoun,Banwa,Kouka,Banwa,Bankui,NA
Boucle du Mouhoun,Banwa,Sami,Banwa,Bankui,NA
Boucle du Mouhoun,Banwa,Sanaba,Banwa,Bankui,NA
Boucle du Mouhoun,Banwa,Solenzo,Banwa,Bankui,NA
Boucle du Mouhoun,Banwa,Tansila,Banwa,Bankui,NA
Boucle du Mouhoun,Kossi,Barani,Koosin,Sourou,📝 Renommée: Kossi → Koosin
Boucle du Mouhoun,Kossi,Bomborokuy,Koosin,Sourou,📝 Renommée: Kossi → Koosin
Boucle du Mouhoun,Kossi,Bourasso,Koosin,Sourou,📝 Renommée: Kossi → Koosin
Boucle du Mouhoun,Kossi,Djibasso,Koosin,Sourou,📝 Renommée: Kossi → Koosin
Boucle du Mouhoun,Kossi,Dokuy,Koosin,Sourou,📝 Renommée: Kossi → Koosin
Boucle du Mouhoun,Kossi,Doumbala,Koosin,Sourou,📝 Renommée: Kossi → Koosin
Boucle du Mouhoun,Kossi,Kombori,Koosin,Sourou,📝 Renommée: Kossi → Koosin
Boucle du Mouhoun,Kossi,Madouba,Koosin,Sourou,📝 Renommée: Kossi → Koosin
Boucle du Mouhoun,Kossi,Nouna,Koosin,Sourou,📝 Renommée: Kossi → Koosin
Boucle du Mouhoun,Kossi,Sono,Koosin,Sourou,📝 Renommée: Kossi → Koosin
Boucle du Mouhoun,Mouhoun,Bondokuy,Mouhoun,Bankui,NA
Boucle du Mouhoun,Mouhoun,Dedougou,Mouhoun,Bankui,NA
Boucle du Mouhoun,Mouhoun,Douroula,Mouhoun,Bankui,NA
Boucle du Mouhoun,Mouhoun,Kona,Mouhoun,Bankui,NA
Boucle du Mouhoun,Mouhoun,Ouarkoye,Mouhoun,Bankui,NA
Boucle du Mouhoun,Mouhoun,Safane,Mouhoun,Bankui,NA
